CDU_ID,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : Total\ Car or van availability - Unit : Cars or vans,Car or van availability : Sum of all cars or vans - Unit : Cars or vans,avg car per household
19263,876,452,452,0.515981735
19264,830,441,441,0.531325301
19265,817,180,180,0.220318237
19266,467,124,124,0.265524625
19267,543,496,496,0.913443831
19268,612,274,274,0.447712418
19269,521,270,270,0.518234165
19270,638,385,385,0.603448276
19271,1103,324,324,0.293744334
19272,457,369,369,0.807439825
19273,698,386,386,0.553008596
19274,650,474,474,0.729230769
19275,638,545,545,0.854231975
19276,836,612,612,0.732057416
19277,626,547,547,0.873801917
19278,609,534,534,0.876847291
19279,612,525,525,0.857843137
19280,504,450,450,0.892857143
19281,650,599,599,0.921538462
19282,593,468,468,0.78920742
19283,474,429,429,0.905063291
19284,500,370,370,0.74
19285,456,434,434,0.951754386
19286,629,536,536,0.852146264
19287,641,598,598,0.932917317
19288,612,453,453,0.740196078
19289,690,704,704,1.020289855
19290,770,550,550,0.714285714
19291,598,684,684,1.143812709
19292,631,630,630,0.998415214
19293,533,420,420,0.787992495
19294,517,496,496,0.959381044
19295,567,541,541,0.954144621
19296,469,511,511,1.089552239
19297,579,804,804,1.388601036
19298,563,636,636,1.129662522
19299,659,714,714,1.083459788
19300,640,442,442,0.690625
19301,607,572,572,0.942339374
19302,679,394,394,0.580265096
19303,461,403,403,0.874186551
19304,629,491,491,0.780604134
19305,602,473,473,0.785714286
19306,654,569,569,0.870030581
19307,644,295,295,0.458074534
19308,643,343,343,0.533437014
19309,615,389,389,0.632520325
19310,725,321,321,0.442758621
19311,769,530,530,0.689206762
19312,645,451,451,0.699224806
19313,638,569,569,0.89184953
19314,560,509,509,0.908928571
19315,573,505,505,0.881326353
19316,537,423,423,0.787709497
19317,690,553,553,0.801449275
19318,578,522,522,0.903114187
19319,770,577,577,0.749350649
19320,668,307,307,0.459580838
19321,761,654,654,0.859395532
19322,635,527,527,0.82992126
19323,709,591,591,0.833568406
19324,774,535,535,0.69121447
19325,683,673,673,0.985358712
19326,679,716,716,1.0544919
19327,462,532,532,1.151515152
19328,513,706,706,1.376218324
19329,598,700,700,1.170568562
19330,785,891,891,1.135031847
19331,784,552,552,0.704081633
19332,627,534,534,0.851674641
19333,629,496,496,0.788553259
19334,622,589,589,0.946945338
19335,710,602,602,0.847887324
19336,560,438,438,0.782142857
19337,649,527,527,0.81201849
19338,609,495,495,0.812807882
19339,594,480,480,0.808080808
19340,648,592,592,0.913580247
19341,672,560,560,0.833333333
19342,629,518,518,0.823529412
19343,517,381,381,0.736943907
19344,640,453,453,0.7078125
19345,508,438,438,0.862204724
19346,503,420,420,0.83499006
19347,640,544,544,0.85
19348,612,581,581,0.949346405
19349,549,497,497,0.905282332
19350,633,438,438,0.691943128
19351,975,760,760,0.779487179
19352,642,362,362,0.563862928
19353,517,400,400,0.773694391
19354,549,525,525,0.956284153
19355,639,366,366,0.572769953
19356,708,528,528,0.745762712
19357,625,553,553,0.8848
19358,666,613,613,0.92042042
19359,615,523,523,0.850406504
19360,567,481,481,0.848324515
19361,625,523,523,0.8368
19362,600,522,522,0.87
19363,739,500,500,0.676589986
19364,915,539,539,0.589071038
19365,916,532,532,0.580786026
19366,601,638,638,1.06156406
19367,652,606,606,0.929447853
19368,608,607,607,0.998355263
19369,501,601,601,1.199600798
19370,732,624,624,0.852459016
19371,739,666,666,0.901217862
19372,633,561,561,0.886255924
19373,758,799,799,1.05408971
19374,485,820,820,1.690721649
19375,623,837,837,1.343499197
19376,762,957,957,1.255905512
19377,709,917,917,1.293370945
19378,607,853,853,1.405271829
19379,505,766,766,1.516831683
19380,501,504,504,1.005988024
19381,522,747,747,1.431034483
19382,685,764,764,1.115328467
19383,660,526,526,0.796969697
19384,1015,725,725,0.714285714
19385,726,634,634,0.873278237
19386,514,411,411,0.799610895
19387,624,579,579,0.927884615
19388,624,351,351,0.5625
19389,570,514,514,0.901754386
19390,634,605,605,0.954258675
19391,495,423,423,0.854545455
19392,565,481,481,0.851327434
19393,625,496,496,0.7936
19394,541,637,637,1.177449168
19395,563,741,741,1.31616341
19396,669,414,414,0.618834081
19397,523,526,526,1.005736138
19398,560,610,610,1.089285714
19399,683,460,460,0.673499268
19400,864,461,461,0.533564815
19401,950,736,736,0.774736842
19402,538,326,326,0.605947955
19403,607,461,461,0.759472817
19404,444,492,492,1.108108108
19405,744,506,506,0.680107527
19406,544,698,698,1.283088235
19407,725,528,528,0.728275862
19408,744,819,819,1.100806452
19409,617,330,330,0.534846029
19410,564,399,399,0.707446809
19411,620,426,426,0.687096774
19412,501,337,337,0.672654691
19413,797,541,541,0.678795483
19414,751,704,704,0.937416778
19415,689,543,543,0.788098694
19416,564,546,546,0.968085106
19417,645,813,813,1.260465116
19418,923,932,932,1.009750813
19419,710,673,673,0.947887324
19420,552,632,632,1.144927536
19421,759,489,489,0.644268775
19422,648,543,543,0.837962963
19423,707,814,814,1.151343706
19424,648,831,831,1.282407407
19425,522,566,566,1.084291188
19426,576,858,858,1.489583333
19427,670,776,776,1.158208955
19428,656,732,732,1.115853659
19429,856,710,710,0.829439252
19430,602,856,856,1.42192691
19431,617,848,848,1.37439222
19432,766,696,696,0.908616188
19433,618,816,816,1.32038835
19434,698,552,552,0.790830946
19435,690,602,602,0.872463768
